ą,ɔ̃ w̃
łagodzenie,w a ɡ ɔ ˈ d͡z ɛ̃ ɲ ɛ
łagodzić,w a ˈ ɡ ɔ d͡ʑ i t͡ɕ
łajać,ˈ w a j æ t͡ɕ
łajba,ˈ w a j b a
łajdak,ˈ w a j d a k
łajka,ˈ w a j k a
łajno,ˈ w a j n ɔ
łaknąć,ˈ w a k n ɔ̃ ɲ t͡ɕ
łakomczuch,w a ˈ k ɔ̃ m t͡ʂ u x
łakomy,w a ˈ k ɔ̃ m ɨ
łam,w ã m
łamanie,w ã ˈ m ã ɲ ɛ
łamaniec,w ã ˈ m ã ɲ ɛ t͡s
łamać,ˈ w ã m a t͡ɕ
łamistrajk,w ã ˈ m ʲ i s t r a j k
łamliwy,w ã m ˈ l ʲ i v ɨ
łan,w ã n
łania,ˈ w ã ɲ a
łanowe,w ã ˈ n ɔ v ɛ
łanowiec,w ã ˈ n ɔ v ʲ j ɛ t͡s
łanuszka,w ã ˈ n u ʂ k a
łapa,ˈ w a p a
łapacz,ˈ w a p a t͡ʂ
łapanie,w a ˈ p ã ɲ ɛ
łapanka,w a ˈ p ã n k a
łapać,ˈ w a p a t͡ɕ
łapeczka,w a ˈ p ɛ t͡ʂ k a
łapiduch,w a ˈ p ʲ i d u x
łapka,ˈ w a p k a
łapki,ˈ w a p ʲ c i
łapserdak,w a p ˈ s ɛ r d a k
łapu,ˈ w a p u
łapu-capu,ˈ w a p u ˈ t͡s a p u
łapy,ˈ w a p ɨ
łapówa,w a ˈ p u v a
łapówka,w a ˈ p u f k a
łasica,w a ˈ ɕ i t͡s a
łasin,ˈ w a ɕ i n
łask,w a s k
łaska,ˈ w a s k a
łaskarzew,w a ˈ s k a ʐ ɛ f
łaskawość,w a ˈ s k a v ɔ ɕ t͡ɕ
łaskować,w a ˈ s k ɔ v a t͡ɕ
łasy,ˈ w a s ɨ
łat,w a t
łata,ˈ w a t a
łateczka,w a ˈ t ɛ t͡ʂ k a
łatwiuteńki,w a t f ʲ j u ˈ t ɛ̃ ɲ c i
łatwiutki,w a t ˈ f ʲ j u t ʲ c i
łatwizna,w a t ˈ f ʲ i z n a
łatwo,ˈ w a t f ɔ
łatwopalny,w a t f ɔ ˈ p a l n ɨ
łatwość,ˈ w a t f ɔ ɕ t͡ɕ
łatwy,ˈ w a t f ɨ
ława,ˈ w a v a
ławeczka,w a ˈ v ɛ t͡ʂ k a
ławica,w a ˈ v ʲ i t͡s a
ławka,ˈ w a f k a
ławki,ˈ w a f ʲ c i
łazarz,ˈ w a z a ʂ
łaźbienie,w a ʑ ˈ b ʲ j ɛ̃ ɲ ɛ
łaźbiny,w a ʑ ˈ b ʲ i n ɨ
łaźbić,ˈ w a ʑ b ʲ i t͡ɕ
łaziebnik,w a ˈ ʑ ɛ b ʲ ɲ i k
łazieneczka,w a ʑ ɛ̃ ˈ n ɛ t͡ʂ k a
łazienka,w a ˈ ʑ ɛ̃ n k a
łazik,ˈ w a ʑ i k
łaziory,w a ˈ ʑ ɔ r ɨ
łazić,ˈ w a ʑ i t͡ɕ
łaźnia,ˈ w a ʑ ɲ a
łazy,ˈ w a z ɨ
łażenie,w a ˈ ʐ ɛ̃ ɲ ɛ
łeb,w ɛ p
łeba,ˈ w ɛ b a
łechtaczka,w ɛ x ˈ t a t͡ʂ k a
łganie,ˈ w ɡ ã ɲ ɛ
łgarz,w ɡ a ʂ
łgać,w ɡ a t͡ɕ
łk,ɛ v ã ŋ ˈ ɡ ɛ l ʲ j a ˈ v ɛ d w u c ɕ f ʲ j ɛ̃ n ˈ t ɛ ɡ ɔ w u ˈ k a ʂ a
łk,ˈ w u k a ʂ
łobez,ˈ w ɔ b ɛ s
łobuz,ˈ w ɔ b u s
łobzowanie,w ɔ b z ɔ ˈ v ã ɲ ɛ
łobzować,w ɔ b ˈ z ɔ v a t͡ɕ
łobżenica,w ɔ b ʐ ɛ̃ ˈ ɲ i t͡s a
łochynia,w ɔ ˈ x ɨ ɲ a
łochów,ˈ w ɔ x u f
łodyga,w ɔ ˈ d ɨ ɡ a
łodzia,ˈ w ɔ d͡ʑ a
łojóweczka,w ɔ j u ˈ v ɛ t͡ʂ k a
łokciowy,w ɔ c ˈ t͡ɕ ɔ v ɨ
łokieć,ˈ w ɔ c ɛ t͡ɕ
łoktusza,w ɔ k ˈ t u ʂ a
łomić,ˈ w ɔ̃ m ʲ i t͡ɕ
łomny,ˈ w ɔ̃ m n ɨ
łomot,ˈ w ɔ̃ m ɔ t
łomża,ˈ w ɔ̃ m ʐ a
łono,ˈ w ɔ̃ n ɔ
łonowy,w ɔ̃ ˈ n ɔ v ɨ
łopata,w ɔ ˈ p a t a
łopatka,w ɔ ˈ p a t k a
łopatologia,w ɔ p a t ɔ ˈ l ɔ ɡ ʲ j a
łopatologicznie,w ɔ p a t ɔ l ɔ ˈ ɡ ʲ i t͡ʂ ʲ ɲ ɛ
łopatologiczny,w ɔ p a t ɔ l ɔ ˈ ɡ ʲ i t͡ʂ n ɨ
łopian,ˈ w ɔ p ʲ j ã n
łopuch,ˈ w ɔ p u x
łosi,ˈ w ɔ ɕ i
łosice,w ɔ ˈ ɕ i t͡s ɛ
łososiowy,w ɔ s ɔ ˈ ɕ ɔ v ɨ
łosoś,ˈ w ɔ s ɔ ɕ
łoszak,ˈ w ɔ ʂ a k
łotewski,w ɔ ˈ t ɛ f s ʲ c i
łotewskojęzyczny,w ɔ ˈ t ɛ f s k ɔ j ɛ̃ w̃ ˈ z ɨ t͡ʂ n ɨ
łotr,w ɔ t r̥
łotwa,ˈ w ɔ t f a
łotysz,ˈ w ɔ t ɨ ʂ
łotyszka,w ɔ ˈ t ɨ ʂ k a
łowca,ˈ w ɔ f t͡s a
łowicki,w ɔ ˈ v ʲ i t͡s ʲ c i
łowicz,ˈ w ɔ v ʲ i t͡ʂ
łowiczanin,w ɔ v ʲ i ˈ t͡ʂ ã ɲ i n
łowiczanka,w ɔ v ʲ i ˈ t͡ʂ ã n k a
łowić,ˈ w ɔ v ʲ i t͡ɕ
łozówka,w ɔ ˈ z u f k a
łoś,w ɔ ɕ
łoże,ˈ w ɔ ʐ ɛ
łożysko,w ɔ ˈ ʐ ɨ s k ɔ
łub,w u p
łubek,ˈ w u b ɛ k
łucja,ˈ w u t͡s ʲ j a
łucjan,ˈ w u t͡s ʲ j ã n
łucznictwo,w u t͡ʂ ʲ ˈ ɲ i t͡s t f ɔ
łuczniczka,w u t͡ʂ ʲ ˈ ɲ i t͡ʂ k a
łucznik,ˈ w u t͡ʂ ʲ ɲ i k
łuczny,ˈ w u t͡ʂ n ɨ
łuczywo,w u ˈ t͡ʂ ɨ v ɔ
łudzień,ˈ w u d͡ʑ ɛ̃ ɲ
łudzić,ˈ w u d͡ʑ i t͡ɕ
ług,w u k
łuk,w u k
łukasz,ˈ w u k a ʂ
łukowaty,w u k ɔ ˈ v a t ɨ
łuków,ˈ w u k u f
łuna,ˈ w ũ n a
łup,w u p
łupek,ˈ w u p ɛ k
łupież,ˈ w u p ʲ j ɛ ʂ
łupina,w u ˈ p ʲ i n a
łupków,ˈ w u p k u f
łuseczka,w u ˈ s ɛ t͡ʂ k a
łuska,ˈ w u s k a
łuskowaty,w u s k ɔ ˈ v a t ɨ
łuszczenie,w u ʂ ˈ t͡ʂ ɛ̃ ɲ ɛ
łuszczyca,w u ʂ ˈ t͡ʂ ɨ t͡s a
łuszczyć,ˈ w u ʂ t͡ʂ ɨ t͡ɕ
łut,w u t
łuzki,ˈ w u s ʲ c i
łużyce,w u ˈ ʐ ɨ t͡s ɛ
łużycki,w u ˈ ʐ ɨ t͡s ʲ c i
łużyczanin,w u ʐ ɨ ˈ t͡ʂ ã ɲ i n
łycha,ˈ w ɨ x a
łydka,ˈ w ɨ t k a
łyk,w ɨ k
łypnąć,ˈ w ɨ p n ɔ̃ ɲ t͡ɕ
łysawy,w ɨ ˈ s a v ɨ
łysek,ˈ w ɨ s ɛ k
łysienie,w ɨ ˈ ɕ ɛ̃ ɲ ɛ
łysieć,ˈ w ɨ ɕ ɛ t͡ɕ
łysina,w ɨ ˈ ɕ i n a
łysinka,w ɨ ˈ ɕ i n k a
łysk,w ɨ s k
łyska,ˈ w ɨ s k a
łyskać,ˈ w ɨ s k a t͡ɕ
łyst,w ɨ s t
łysy,ˈ w ɨ s ɨ
łyżeczka,w ɨ ˈ ʐ ɛ t͡ʂ k a
łyżka,ˈ w ɨ ʂ k a
łyżkowidelec,w ɨ ʂ k ɔ v ʲ i ˈ d ɛ l ɛ t͡s
łyżwa,ˈ w ɨ ʐ v a
łyżwiarka,w ɨ ʐ ˈ v ʲ j a r k a
łyżwiarski,w ɨ ʐ ˈ v ʲ j a r s ʲ c i
łyżwiarstwo,w ɨ ʐ ˈ v ʲ j a r s t f ɔ
łyżwiarz,ˈ w ɨ ʐ v ʲ j a ʂ
łza,w z a
łzawić,ˈ w z a v ʲ i t͡ɕ
łża,w ʐ a
łżykwiat,ˈ w ʐ ɨ k f ʲ j a t
łżywy,ˈ w ʐ ɨ v ɨ
łódeczka,w u ˈ d ɛ t͡ʂ k a
łódka,ˈ w u t k a
łódzki,ˈ w u t͡s ʲ c i
łódź,w u t͡ɕ
łóżeczko,w u ˈ ʐ ɛ t͡ʂ k ɔ
łóżko,ˈ w u ʂ k ɔ
ń,ɛ̃ ɲ
ś,ɛ ɕ
ściana,ˈ ɕ t͡ɕ ã n a
ścichapęk,ɕ t͡ɕ i ˈ x a p ɛ̃ ŋ k
ściec,ɕ t͡ɕ ɛ t͡s
ścieg,ɕ t͡ɕ ɛ k
ściek,ɕ t͡ɕ ɛ k
ścieki,ˈ ɕ t͡ɕ ɛ c i
ściema,ˈ ɕ t͡ɕ ɛ̃ m a
ściemniacz,ˈ ɕ t͡ɕ ɛ̃ m ʲ ɲ a t͡ʂ
ściemnianie,ɕ t͡ɕ ɛ̃ m ʲ ˈ ɲ a ɲ ɛ
ściemniać,ˈ ɕ t͡ɕ ɛ̃ m ʲ ɲ æ t͡ɕ
ścienny,ˈ ɕ t͡ɕ ɛ̃ n ɨ
ściepa,ˈ ɕ t͡ɕ ɛ p a
ścieralność,ɕ t͡ɕ ɛ ˈ r a l n ɔ ɕ t͡ɕ
ścieranie,ɕ t͡ɕ ɛ ˈ r ã ɲ ɛ
ścierać,ˈ ɕ t͡ɕ ɛ r a t͡ɕ
ściereczka,ɕ t͡ɕ ɛ ˈ r ɛ t͡ʂ k a
ścierka,ˈ ɕ t͡ɕ ɛ r k a
ściernica,ɕ t͡ɕ ɛ r ʲ ˈ ɲ i t͡s a
ścierniwo,ɕ t͡ɕ ɛ r ʲ ˈ ɲ i v ɔ
ścierny,ˈ ɕ t͡ɕ ɛ r n ɨ
ścierwnik,ˈ ɕ t͡ɕ ɛ r v ʲ ɲ i k
ścierwo,ˈ ɕ t͡ɕ ɛ r v ɔ
ścieśnianie,ɕ t͡ɕ ɛ ɕ ˈ ɲ a ɲ ɛ
ścieśniać,ˈ ɕ t͡ɕ ɛ ɕ ɲ æ t͡ɕ
ścieśnienie,ɕ t͡ɕ ɛ ɕ ˈ ɲ ɛ̃ ɲ ɛ
ścieśnić,ˈ ɕ t͡ɕ ɛ ɕ ɲ i t͡ɕ
ścieżeczka,ɕ t͡ɕ ɛ ˈ ʐ ɛ t͡ʂ k a
ścieżka,ˈ ɕ t͡ɕ ɛ ʂ k a
ścin,ɕ t͡ɕ i n
ścinać,ˈ ɕ t͡ɕ i n a t͡ɕ
ścinka,ˈ ɕ t͡ɕ i n k a
ścisk,ɕ t͡ɕ i s k
ściskać,ˈ ɕ t͡ɕ i s k a t͡ɕ
ścisnąć,ˈ ɕ t͡ɕ i s n ɔ̃ ɲ t͡ɕ
ścisły,ˈ ɕ t͡ɕ i s w ɨ
ściółka,ˈ ɕ t͡ɕ u w k a
ściąga,ˈ ɕ t͡ɕ ɔ̃ ŋ ɡ a
ściąganie,ɕ t͡ɕ ɔ̃ ŋ ˈ ɡ ã ɲ ɛ
ściągawka,ɕ t͡ɕ ɔ̃ ŋ ˈ ɡ a f k a
ściągać,ˈ ɕ t͡ɕ ɔ̃ ŋ ɡ a t͡ɕ
ściągnąć,ˈ ɕ t͡ɕ ɔ̃ ŋ ɡ n ɔ̃ ɲ t͡ɕ
ścięgno,ˈ ɕ t͡ɕ ɛ̃ ŋ ɡ n ɔ
ściśle,ˈ ɕ t͡ɕ i ɕ l ɛ
śiwa,ˈ ɕ i v a
ślad,ɕ l a t
ślamazara,ɕ l ã m a ˈ z a r a
ślamazarnie,ɕ l ã m a ˈ z a r ʲ ɲ ɛ
ślamazarny,ɕ l ã m a ˈ z a r n ɨ
śledczy,ˈ ɕ l ɛ ṭ t͡ʂ ɨ
śledzik,ˈ ɕ l ɛ d͡ʑ i k
śledziona,ɕ l ɛ ˈ d͡ʑ ɔ̃ n a
śledzić,ˈ ɕ l ɛ d͡ʑ i t͡ɕ
śledź,ɕ l ɛ t͡ɕ
ślemię,ˈ ɕ l ɛ̃ m ʲ j ɛ
ślep,ɕ l ɛ p
ślepak,ˈ ɕ l ɛ p a k
ślepek,ˈ ɕ l ɛ p ɛ k
ślepiec,ˈ ɕ l ɛ p ʲ j ɛ t͡s
ślepota,ɕ l ɛ ˈ p ɔ t a
ślepucha,ɕ l ɛ ˈ p u x a
ślepy,ˈ ɕ l ɛ p ɨ
ślicznie,ˈ ɕ l ʲ i t͡ʂ ʲ ɲ ɛ
śliczniuteńki,ɕ l ʲ i t͡ʂ ʲ ɲ u ˈ t ɛ̃ ɲ c i
śliczniutki,ɕ l ʲ i t͡ʂ ʲ ˈ ɲ u t ʲ c i
ślicznotka,ɕ l ʲ i t͡ʂ ˈ n ɔ t k a
śliczny,ˈ ɕ l ʲ i t͡ʂ n ɨ
ślimacznica,ɕ l ʲ i m a t͡ʂ ʲ ˈ ɲ i t͡s a
ślimaczy,ɕ l ʲ i ˈ m a t͡ʂ ɨ
ślimak,ˈ ɕ l ʲ i m a k
ślimakożerny,ɕ l ʲ i m a k ɔ ˈ ʐ ɛ r n ɨ
ślina,ˈ ɕ l ʲ i n a
ślinić,ˈ ɕ l ʲ i ɲ i t͡ɕ
ślinowy,ɕ l ʲ i ˈ n ɔ v ɨ
śliski,ˈ ɕ l ʲ i s ʲ c i
śliwa,ˈ ɕ l ʲ i v a
śliweczka,ɕ l ʲ i ˈ v ɛ t͡ʂ k a
śliwka,ˈ ɕ l ʲ i f k a
śliwkowy,ɕ l ʲ i f ˈ k ɔ v ɨ
śliwowica,ɕ l ʲ i v ɔ ˈ v ʲ i t͡s a
ślub,ɕ l u p
ślubny,ˈ ɕ l u b n ɨ
ślusarz,ˈ ɕ l u s a ʂ
śluz,ɕ l u s
śląsk,ɕ l ɔ̃ w̃ s k
śląski,ˈ ɕ l ɔ̃ w̃ s ʲ c i
śląskie,ˈ ɕ l ɔ̃ w̃ s ʲ c ɛ
ślązaczka,ɕ l ɔ̃ w̃ ˈ z a t͡ʂ k a
ślązak,ˈ ɕ l ɔ̃ w̃ z a k
śmiara,ˈ ɕ m ʲ j a r a
śmiało,ˈ ɕ m ʲ j a w ɔ
śmiałość,ˈ ɕ m ʲ j a w ɔ ɕ t͡ɕ
śmiały,ˈ ɕ m ʲ j a w ɨ
śmichy-chichy,ˈ ɕ m ʲ i x ɨ ˈ ɣ i x ɨ
śmiech,ɕ m ʲ j ɛ x
śmieciarka,ɕ m ʲ j ɛ ˈ t͡ɕ a r k a
śmieciarz,ˈ ɕ m ʲ j ɛ t͡ɕ a ʂ
śmieciowy,ɕ m ʲ j ɛ ˈ t͡ɕ ɔ v ɨ
śmieciówka,ɕ m ʲ j ɛ ˈ t͡ɕ u f k a
śmiecić,ˈ ɕ m ʲ j ɛ t͡ɕ i t͡ɕ
śmierdolenie,ɕ m ʲ j ɛ r d ɔ ˈ l ɛ̃ ɲ ɛ
śmierdolić,ɕ m ʲ j ɛ r ˈ d ɔ l ʲ i t͡ɕ
śmierdzenie,ɕ m ʲ j ɛ r ˈ d͡z ɛ̃ ɲ ɛ
śmierdziel,ˈ ɕ m ʲ j ɛ r ʲ d͡ʑ ɛ l
śmierdzieć,ˈ ɕ m ʲ j ɛ r ʲ d͡ʑ ɛ t͡ɕ
śmierdzący,ɕ m ʲ j ɛ r ˈ d͡z ɔ̃ n t͡s ɨ
śmiertelniczka,ɕ m ʲ j ɛ r t ɛ l ʲ ˈ ɲ i t͡ʂ k a
śmiertelność,ɕ m ʲ j ɛ r ˈ t ɛ l n ɔ ɕ t͡ɕ
śmiertelny,ɕ m ʲ j ɛ r ˈ t ɛ l n ɨ
śmierć,ɕ m ʲ j ɛ r ʲ t͡ɕ
śmieszka,ˈ ɕ m ʲ j ɛ ʂ k a
śmieszny,ˈ ɕ m ʲ j ɛ ʂ n ɨ
śmietana,ɕ m ʲ j ɛ ˈ t ã n a
śmietanka,ɕ m ʲ j ɛ ˈ t ã n k a
śmietnik,ˈ ɕ m ʲ j ɛ t ʲ ɲ i k
śmietnisko,ɕ m ʲ j ɛ t ʲ ˈ ɲ i s k ɔ
śmieć,ɕ m ʲ j ɛ t͡ɕ
śmiga,ˈ ɕ m ʲ i ɡ a
śmiganie,ɕ m ʲ i ˈ ɡ ã ɲ ɛ
śmigać,ˈ ɕ m ʲ i ɡ a t͡ɕ
śmignąć,ˈ ɕ m ʲ i ɡ n ɔ̃ ɲ t͡ɕ
śmigus-dyngus,ɕ m ʲ i ɡ u z ˈ d ɨ ŋ ɡ u s
śmigło,ˈ ɕ m ʲ i ɡ w ɔ
śmigłowcowiec,ɕ m ʲ i ɡ w ɔ f ˈ t͡s ɔ v ʲ j ɛ t͡s
śniadanie,ɕ ɲ a ˈ d ã ɲ ɛ
śniadanko,ɕ ɲ a ˈ d ã n k ɔ
śniady,ˈ ɕ ɲ a d ɨ
śniedny,ˈ ɕ ɲ ɛ d n ɨ
śnieg,ɕ ɲ ɛ k
śnieguła,ɕ ɲ ɛ ˈ ɡ u w a
śnieżka,ˈ ɕ ɲ ɛ ʂ k a
śnieżnobiały,ɕ ɲ ɛ ʐ n ɔ ˈ b ʲ j a w ɨ
śnieżny,ˈ ɕ ɲ ɛ ʐ n ɨ
śnieżyca,ɕ ɲ ɛ ˈ ʐ ɨ t͡s a
śnieżynka,ɕ ɲ ɛ ˈ ʐ ɨ n k a
śnieżyć,ˈ ɕ ɲ ɛ ʐ ɨ t͡ɕ
śniółka,ˈ ɕ ɲ u w k a
śnić,ɕ ɲ i t͡ɕ
śpas,ɕ p a s
śpieszenie,ɕ p ʲ j ɛ ˈ ʂ ɛ̃ ɲ ɛ
śpieszyć,ˈ ɕ p ʲ j ɛ ʂ ɨ t͡ɕ
śpiew,ɕ p ʲ j ɛ f
śpiewaczka,ɕ p ʲ j ɛ ˈ v a t͡ʂ k a
śpiewak,ˈ ɕ p ʲ j ɛ v a k
śpiewanie,ɕ p ʲ j ɛ ˈ v ã ɲ ɛ
śpiewać,ˈ ɕ p ʲ j ɛ v a t͡ɕ
śpiewka,ˈ ɕ p ʲ j ɛ f k a
śpiewnik,ˈ ɕ p ʲ j ɛ v ʲ ɲ i k
śpiewogra,ɕ p ʲ j ɛ ˈ v ɔ ɡ r a
śpik,ɕ p ʲ i k
śpioch,ɕ p ʲ j ɔ x
śpiwór,ˈ ɕ p ʲ i v u r
śpiący,ˈ ɕ p ʲ j ɔ̃ n t͡s ɨ
średni,ˈ ɕ r ɛ d ʲ ɲ i
średniak,ˈ ɕ r ɛ d ʲ ɲ a k
średnian,ˈ ɕ r ɛ d ʲ ɲ ã n
średnica,ɕ r ɛ d ʲ ˈ ɲ i t͡s a
średnicówka,ɕ r ɛ d ʲ ɲ i ˈ t͡s u f k a
średnik,ˈ ɕ r ɛ d ʲ ɲ i k
średnio,ˈ ɕ r ɛ d ʲ ɲ ɔ
średnio-wysoko-niemiecki,ˈ ɕ r ɛ d ʲ ɲ ɔ v ɨ ˈ s ɔ k ɔ ɲ ɛ̃ ˈ m ʲ j ɛ t͡s ʲ c i
średniodobowy,ɕ r ɛ d ʲ ɲ ɔ d ɔ ˈ b ɔ v ɨ
średniokwartalny,ɕ r ɛ d ʲ ɲ ɔ k f a r ˈ t a l n ɨ
średniomiesięczny,ɕ r ɛ d ʲ ɲ ɔ̃ m ʲ j ɛ ˈ ɕ ɛ̃ ɲ t͡ʂ n ɨ
średnioroczny,ɕ r ɛ d ʲ ɲ ɔ ˈ r ɔ t͡ʂ n ɨ
średniotygodniowy,ɕ r ɛ d ʲ ɲ ɔ t ɨ ɡ ɔ d ʲ ˈ ɲ ɔ v ɨ
średniowiecze,ɕ r ɛ d ʲ ɲ ɔ ˈ v ʲ j ɛ t͡ʂ ɛ
średniowieczny,ɕ r ɛ d ʲ ɲ ɔ ˈ v ʲ j ɛ t͡ʂ n ɨ
średniówka,ɕ r ɛ d ʲ ˈ ɲ u f k a
śrk,ɛ ɕ ɛ r ˈ k a
środa,ˈ ɕ r ɔ d a
środek,ˈ ɕ r ɔ d ɛ k
środkowoafrykański,ɕ r ɔ t ˈ k ɔ v ɔ a f r ɨ ˈ k ã j̃ s ʲ c i
środkowy,ɕ r ɔ t ˈ k ɔ v ɨ
środowisko,ɕ r ɔ d ɔ ˈ v ʲ i s k ɔ
środowiskowy,ɕ r ɔ d ɔ v ʲ i ˈ s k ɔ v ɨ
środowy,ɕ r ɔ ˈ d ɔ v ɨ
śruba,ˈ ɕ r u b a
śrubeczka,ɕ r u ˈ b ɛ t͡ʂ k a
śrubka,ˈ ɕ r u p k a
śrubokręt,ɕ r u ˈ b ɔ k r ɛ̃ n t
śrut,ɕ r u t
śryż,ɕ r ɨ ʂ
śródgłos,ˈ ɕ r u d ɡ w ɔ s
śródleśny,ɕ r u d ˈ l ɛ ɕ n ɨ
śródlądowy,ɕ r u d l ɔ̃ n ˈ d ɔ v ɨ
śródmieście,ɕ r u d ˈ m ʲ j ɛ ɕ t͡ɕ ɛ
śródręcze,ɕ r u ˈ d r ɛ̃ ɲ t͡ʂ ɛ
śródziemie,ɕ r u d ʲ ˈ ʑ ɛ̃ m ʲ j ɛ
śródziemnomorski,ɕ r u d ʲ ʑ ɛ̃ m n ɔ̃ ˈ m ɔ r s ʲ c i
