čač,t͡ʃ a t͡ʃ
časty,t͡ʃ a s t ɪ
častá,t͡ʃ a s t aː
časté,t͡ʃ a s t ɛː
častý,t͡ʃ a s t iː
častější,t͡ʃ a s c ɛ j ʃ iː
času,t͡ʃ a s ʊ
časák,t͡ʃ a s aː k
časům,t͡ʃ a s uː m
čatní,t͡ʃ a t n iː
čau,t͡ʃ a ʊ̯
čauš,t͡ʃ a ʊ̯ ʃ
čečenci,t͡ʃ ɛ t͡ʃ ɛ n t͡s ɪ
čečensko,t͡ʃ ɛ t͡ʃ ɛ n s k ɔ
čečenský,t͡ʃ ɛ t͡ʃ ɛ n s k iː
čeřen,ˈ t͡ʃ ɛ r̝ ɛ n
češka,t͡ʃ ɛ ʃ k a
češko,t͡ʃ ɛ s k ɔ
čeština,t͡ʃ ɛ ʃ c ɪ n a
čeští,t͡ʃ ɛ ʃ c iː
čech,t͡ʃ ɛ x
čecha,t͡ʃ ɛ x a
čechami,t͡ʃ ɛ x a m ɪ
čechem,t͡ʃ ɛ x ɛ m
čechie,t͡ʃ ɛ x ɪ j ɛ
čechismus,t͡ʃ ɛ x ɪ s m ʊ s
čechoameričan,t ʃ ɛ x ɔ a m ɛ r ɪ t ʃ a n
čechoameričanka,t͡ʃ ɛ x ɔ a m ɛ r ɪ t͡ʃ a ŋ k a
čechoslovák,ˈ t͡ʃ ɛ x ɔ s l ɔ v aː k
čechov,t͡ʃ ɛ x ɔ f
čechova,t͡ʃ ɛ x ɔ v a
čechovi,t͡ʃ ɛ x ɔ v ɪ
čechovovi,t͡ʃ ɛ x ɔ v ɔ v ɪ
čechovovy,t͡ʃ ɛ x ɔ v ɔ v ɪ
čechovy,t͡ʃ ɛ x ɔ v ɪ
čechovův,t͡ʃ ɛ x ɔ v uː f
čechrat,t͡ʃ ɛ x r a t
čechu,t͡ʃ ɛ x ʊ
čechy,t͡ʃ ɛ x ɪ
čechyně,t͡ʃ ɛ x ɪ ɲ ɛ
čechách,t͡ʃ ɛ x aː x
čechám,t͡ʃ ɛ x aː m
čechřice,t͡ʃ ɛ x r̝̊ ɪ t͡s ɛ
čechů,t͡ʃ ɛ x uː
čechův,t͡ʃ ɛ x uː f
čedič,t͡ʃ ɛ ɟ ɪ t͡ʃ
čedičový,t͡ʃ ɛ ɟ ɪ t͡ʃ ɔ v iː
čedok,ˈ t͡ʃ ɛ d ɔ k
čehý,t͡ʃ ɛ ɦ iː
čejka,t͡ʃ ɛ j k a
čejčí,t͡ʃ ɛ j t͡ʃ iː
čekaje,t͡ʃ ɛ k a j ɛ
čekají,t͡ʃ ɛ k a ɟ iː
čekali,t͡ʃ ɛ k a l ɪ
čekalo,t͡ʃ ɛ k a l ɔ
čekaly,t͡ʃ ɛ k a l ɪ
čekanka,t͡ʃ ɛ k a ŋ k a
čekankový,t͡ʃ ɛ k a ŋ k ɔ v iː
čekat,t͡ʃ ɛ k a t
čekav,t͡ʃ ɛ k a f
čekuláda,t͡ʃ ɛ k ʊ l aː d a
čekuládu,ˈ t͡ʃ ɛ k ʊ l aː d ʊ
čekáme,t͡ʃ ɛ k aː m ɛ
čekárna,t͡ʃ ɛ k aː r n a
čekárny,t͡ʃ ɛ k aː r n ɪ
čel,t͡ʃ ɛ l
čele,t͡ʃ ɛ l ɛ
čeledník,t ʃ ɛ l ɛ d ɲ iː k
čeledín,t͡ʃ ɛ l ɛ ɟ iː n
čelen,t ʃ ɛ l ɛ n
čeleď,t͡ʃ ɛ l ɛ c
čelil,t͡ʃ ɛ l ɪ l
čelist,ˈ t͡ʃ ɛ l ɪ s t
čelistnatci,t ʃ ɛ l ɪ s t n a t t s ɪ
čelit,ˈ t͡ʃ ɛ l ɪ t
čelní,ˈ t͡ʃ ɛ l ɲ iː
čelo,t͡ʃ ɛ l ɔ
čelovka,t͡ʃ ɛ l ɔ f k a
čelí,t͡ʃ ɛ l iː
čelíme,t͡ʃ e l iː m e
čelíčko,t͡ʃ ɛ l iː t͡ʃ k ɔ
čemeřice,t͡ʃ ɛ m ɛ r̝ ɪ t͡s ɛ
čenich,t͡ʃ ɛ ɲ ɪ x
čenichat,t͡ʃ ɛ ɲ ɪ x a t
čenichati,t͡ʃ ɛ ɲ ɪ x a c ɪ
čenský,t͡ʃ ɛ n s k iː
čepel,ˈ t͡ʃ ɛ p ɛ l
čepice,t͡ʃ ɛ p ɪ t͡s ɛ
čepička,t͡ʃ ɛ p ɪ t͡ʃ k a
čepovka,ˈ t͡ʃ ɛ p ɔ v k a
čepák,t͡ʃ ɛ p aː k
čepáček,t͡ʃ ɛ p aː t͡ʃ ɛ k
čerň,t͡ʃ ɛ r ɲ
čerchov,t͡ʃ ɛ r x ɔ f
čermákovi,t͡ʃ ɛ r m aː k ɔ v ɪ
černi,t͡ʃ ɛ r ɲ ɪ
černigov,t͡ʃ ɛ r ɲ ɪ ɡ ɔ f
černihiv,t͡ʃ ɛ r ɲ ɪ ɦ ɪ f
černo,t͡ʃ ɛ r n ɔ
černobílý,t͡ʃ ɛ r n ɔ b iː l iː
černoch,t͡ʃ ɛ r n ɔ x
černochův,t͡ʃ ɛ r n ɔ x uː f
černohorka,t͡ʃ ɛ r n ɔ ɦ ɔ r k a
černohorský,t͡ʃ ɛ r n ɔ ɦ ɔ r s k iː
černokabátník,t͡ʃ ɛ r n ɔ k a b aː t ɲ iː k
černoknižník,t͡ʃ ɛ r n ɔ k ɲ ɪ ʒ ɲ iː k
černokněžník,t͡ʃ ɛ r n ɔ k ɲ ɛ ʒ ɲ iː k
černomořskou,t͡ʃ ɛ r n ɔ m ɔ r̝̊ s k ɔ ʊ̯
černomořský,t͡ʃ ɛ r n ɔ m ɔ r̝̊ s k iː
černoočka,t͡ʃ ɛ r n ɔ ɔ t͡ʃ k a
černoprdelník,t͡ʃ ɛ r n ɔ p r̩ d ɛ l ɲ iː k
černosrstý,t͡ʃ ɛ r n ɔ s r̩ s t iː
černoušku,ˈ t͡ʃ ɛ r n ɔ ʊ̯ ʃ k ʊ
černozemní,t͡ʃ ɛ r n ɔ z ɛ m ɲ iː
černočerný,t͡ʃ ɛ r n ɔ t͡ʃ ɛ r n iː
černoška,ˈ t͡ʃ ɛ r n ɔ ʃ k a
černá,ˈ t͡ʃ ɛ r n aː
černé,ˈ t͡ʃ ɛ r n ɛː
černí,t͡ʃ ɛ r ɲ iː
černý,t͡ʃ ɛ r n iː
čerokízsky,t͡ʃ ɛ r ɔ k iː s k ɪ
čerpací,t͡ʃ ɛ r p a t͡s iː
čerpadlo,ˈ t͡ʃ ɛ r p a d l ɔ
čerpat,t͡ʃ ɛ r p a t
čerpačka,t͡ʃ ɛ r p a t͡ʃ k a
čerstvou,t͡ʃ ɛ r s t v ɔ ʊ̯
čerstvá,t͡ʃ ɛ r s t v aː
čerství,t͡ʃ ɛ r s t v iː
čerstvý,ˈ t͡ʃ ɛ r s t v iː
čert,t͡ʃ ɛ r t
čerta,t͡ʃ ɛ r t a
čertovina,t͡ʃ ɛ r t ɔ v ɪ n a
čertův,t͡ʃ ɛ r t uː f
červ,t͡ʃ ɛ r f
červen,t͡ʃ ɛ r v ɛ n
červenat,t͡ʃ ɛ r v ɛ n a t
července,t͡ʃ ɛ r v ɛ n t͡s ɛ
červenci,t͡ʃ ɛ r v ɛ n t͡s ɪ
červencový,t͡ʃ ɛ r v ɛ n t͡s ɔ v iː
červenec,t͡ʃ ɛ r v ɛ n ɛ t͡s
červenka,t͡ʃ ɛ r v ɛ ŋ k a
červenobílém,t͡ʃ ɛ r v ɛ n ɔ b iː l ɛː m
červenobílý,t͡ʃ ɛ r v ɛ n ɔ b iː l iː
červenohorský,t͡ʃ ɛ r v ɛ n ɔ ɦ ɔ r s k iː
červenolící,ˈ t͡ʃ ɛ r v ɛ n ɔ l iː t͡s iː
červenou,t͡ʃ ɛ r v ɛ n ɔ ʊ̯
červená,t͡ʃ ɛ r v ɛ n aː
červený,t͡ʃ ɛ r v ɛ n iː
červivý,t͡ʃ ɛ r v ɪ v iː
června,t͡ʃ ɛ r v n a
červnový,t͡ʃ ɛ r v n ɔ v iː
červnu,t͡ʃ ɛ r v n ʊ
červotoč,ˈ t͡ʃ ɛ r v ɔ t ɔ t͡ʃ
červovitý,t͡ʃ ɛ r v ɔ v ɪ t iː
červánky,t͡ʃ ɛ r v aː ŋ k ɪ
českem,t͡ʃ ɛ s k ɛ m
česko,t͡ʃ ɛ s k ɔ
česko-slovensko-polsko-maďarský,t͡ʃ ɛ s k ɔ s l ɔ v ɛ n s k ɔ p ɔ l s k ɔ m a ɟ a r s k iː
českobudějovicko,t ʃ ɛ s k ɔ b ʊ ɟ ɛ j ɔ v ɪ t͡s k ɔ
českobudějovického,t͡ʃ ɛ s k ɔ b ʊ ɟ ɛ j ɔ v ɪ t͡s k ɛː ɦ ɔ
českobudějovický,t͡ʃ ɛ s k ɔ b ʊ ɟ ɛ j ɔ v ɪ t͡s k iː
českokrumlovsko,t͡ʃ ɛ s k ɔ k r ʊ m l ɔ f s k ɔ
českokrumlovský,t͡ʃ ɛ s k ɔ k r ʊ m l ɔ f s k iː
českolipska,t͡ʃ ɛ s k ɔ l ɪ p s k a
českolipsko,t͡ʃ ɛ s k ɔ l ɪ p s k ɔ
českolipsku,t͡ʃ ɛ s k ɔ l ɪ p s k ʊ
českolipský,t͡ʃ ɛ s k ɔ l ɪ p s k iː
českomoravský,t͡ʃ ɛ s k ɔ m ɔ r a f s k iː
československo,ˈ t͡ʃ ɛ s k ɔ s l ɔ v ɛ n s k ɔ
československo-francouzský,t͡ʃ ɛ s k ɔ s l ɔ v ɛ n s k ɔ f r a n t͡s ɔ ʊ̯ s k iː
československo-sovětský,t͡ʃ ɛ s k ɔ s l ɔ v ɛ n s k ɔ s ɔ v j ɛ t s k iː
československou,t͡ʃ ɛ s k ɔ s l ɔ v ɛ n s k ɔ ʊ̯
československu,t͡ʃ ɛ s k ɔ s l ɔ v ɛ n s k ʊ
československy,ˈ t͡ʃ ɛ s k ɔ s l ɔ v ɛ n s k ɪ
československé,t͡ʃ ɛ s k ɔ s l ɔ v ɛ n s k ɛː
československého,t͡ʃ ɛ s k ɔ s l ɔ v ɛ n s k ɛː ɦ ɔ
československý,t͡ʃ ɛ s k ɔ s l ɔ v ɛ n s k iː
českoslovenština,t͡ʃ ɛ s k ɔ s l ɔ v ɛ n ʃ c ɪ n a
českoslovenští,t͡ʃ ɛ s k ɔ s l ɔ v ɛ n ʃ c iː
českotřebovský,t͡ʃ ɛ s k ɔ t r̝̊ ɛ b ɔ f s k iː
českou,t͡ʃ ɛ s k ɔ ʊ̯
česku,t͡ʃ ɛ s k ʊ
česky,t͡ʃ ɛ s k ɪ
česká,t͡ʃ ɛ s k aː
české,t͡ʃ ɛ s k ɛː
českého,t͡ʃ ɛ s k ɛː ɦ ɔ
českém,t͡ʃ ɛ s k ɛː m
českému,t͡ʃ ɛ s k ɛː m ʊ
český,t͡ʃ ɛ s k iː
českých,t͡ʃ ɛ s k iː x
českými,t͡ʃ ɛ s k iː m ɪ
česlavův,t͡ʃ ɛ s l a v uː f
česlo,t͡ʃ ɛ s l ɔ
česnek,t͡ʃ ɛ s n ɛ k
česnekový,t͡ʃ ɛ s n ɛ k ɔ v iː
česnekář,t͡ʃ ɛ s n ɛ k aː r̝̊
česnečka,t͡ʃ ɛ s n ɛ t͡ʃ k a
čest,t͡ʃ ɛ s t
čestmír,t ʃ ɛ s t m iː r
čestmírův,t͡ʃ ɛ s t m iː r uː f
čestný,t͡ʃ ɛ s t n iː
čet,t͡ʃ ɛ t
četa,t͡ʃ ɛ t a
četař,t͡ʃ ɛ t a r̝̊
četařův,t͡ʃ ɛ t a r̝ uː f
četba,t͡ʃ ɛ d b a
četl,t͡ʃ ɛ t l̩
četnictvo,ˈ t͡ʃ ɛ t ɲ ɪ t͡s t v ɔ
četníci,t͡ʃ ɛ t ɲ iː t͡s ɪ
četník,ˈ t͡ʃ ɛ t ɲ iː k
četný,t͡ʃ ɛ t n iː
četných,t͡ʃ ɛ t n iː x
četovat,ˈ t͡ʃ ɛ t ɔ v a t
četu,t͡ʃ ɛ t ʊ
čez,t͡ʃ ɛ s
či,t͡ʃ ɪ
čibukový,t͡ʃ ɪ b ʊ k ɔ v iː
čich,t͡ʃ ɪ x
čichací,t͡ʃ ɪ x a t͡s iː
čichačka,t͡ʃ ɪ x a t͡ʃ k a
čichový,t͡ʃ ɪ x ɔ v iː
čihadlo,t͡ʃ ɪ ɦ a d l ɔ
čihař,t͡ʃ ɪ ɦ a r̝̊
čile,t͡ʃ ɪ l ɛ
čili,t͡ʃ ɪ l ɪ
čilimník,t ʃ ɪ l ɪ m ɲ iː k
čilský,t͡ʃ ɪ l s k iː
čilý,t͡ʃ ɪ l iː
čimbary,t͡ʃ ɪ m b a r ɪ
čin,t͡ʃ ɪ n
činem,t͡ʃ ɪ n ɛ m
činit,t͡ʃ ɪ ɲ ɪ t
činitelé,t͡ʃ ɪ ɲ ɪ t ɛ l ɛː
činiti,t͡ʃ ɪ ɲ ɪ c ɪ
činka,t͡ʃ ɪ ŋ k a
činnost,t͡ʃ ɪ n ɔ s t
činnosti,t͡ʃ ɪ n ɔ s t ɪ
činný,ˈ t͡ʃ ɪ n iː
činovníci,t͡ʃ ɪ n ɔ v ɲ iː t͡s ɪ
činu,t͡ʃ ɪ n ʊ
činy,t͡ʃ ɪ n ɪ
činčila,ˈ t͡ʃ ɪ n t͡ʃ ɪ l a
činčura,t͡ʃ ɪ n t͡ʃ ʊ r a
činěny,t͡ʃ ɪ ɲ ɛ n ɪ
činů,t͡ʃ ɪ n uː
činže,t͡ʃ ɪ n ʒ ɛ
činžák,t͡ʃ ɪ n ʒ aː k
čipovka,t͡ʃ ɪ p ɔ f k a
čipsy,ˈ t͡ʃ ɪ p s ɪ
čirok,t͡ʃ ɪ r ɔ k
čiročirý,t͡ʃ ɪ r ɔ t͡ʃ ɪ r iː
čistec,t͡ʃ ɪ s t ɛ t͡s
čisticí,t͡ʃ ɪ s c ɪ t͡s iː
čistit,t͡ʃ ɪ s c ɪ t
čistička,t͡ʃ ɪ s c ɪ t͡ʃ k a
čistokrevný,t͡ʃ ɪ s t ɔ k r ɛ v n iː
čistota,t͡ʃ ɪ s t ɔ t a
čistotě,t͡ʃ ɪ s t ɔ c ɛ
čistí,t͡ʃ ɪ s c iː
čistírna,ˈ t͡ʃ ɪ s c iː r n a
čistý,ˈ t͡ʃ ɪ s t iː
čistě,ˈ t͡ʃ ɪ s c ɛ
čistění,t͡ʃ ɪ s c ɛ ɲ iː
čitatel,t͡ʃ ɪ t a t ɛ l
čitelný,ˈ t͡ʃ ɪ t ɛ l n iː
čiv,t͡ʃ ɪ f
čivava,t͡ʃ ɪ v a v a
čivavák,t͡ʃ ɪ v a v aː k
čivný,t͡ʃ ɪ v n iː
čivový,t͡ʃ ɪ v ɔ v iː
čičinka,t͡ʃ ɪ t͡ʃ ɪ ŋ k a
čiň,t͡ʃ ɪ ɲ
čiš,ˈ t͡ʃ ɪ ʃ
čišet,t͡ʃ ɪ ʃ ɛ t
čištění,t͡ʃ ɪ ʃ c ɛ ɲ iː
čiší,t͡ʃ ɪ ʃ iː
čižba,t͡ʃ ɪ ʒ b a
čižbář,t͡ʃ ɪ ʒ b aː r̝̊
člen,t͡ʃ l ɛ n
člena,t͡ʃ l ɛ n a
členka,t͡ʃ l ɛ ŋ k a
členovi,t͡ʃ l ɛ n ɔ v ɪ
členové,t͡ʃ l ɛ n ɔ v ɛː
členské,t͡ʃ l ɛ n s k ɛː
členský,t͡ʃ l ɛ n s k iː
členských,t͡ʃ l ɛ n s k iː x
členstvo,ˈ t͡ʃ l ɛ n s t v ɔ
členství,t͡ʃ l ɛ n s t v iː
členy,t͡ʃ l ɛ n ɪ
človíček,t͡ʃ l ɔ v iː t͡ʃ ɛ k
člověk,t͡ʃ l ɔ v j ɛ k
člověka,t͡ʃ l ɔ v j ɛ k a
člověkohodina,t͡ʃ l ɔ v j ɛ k ɔ ɦ ɔ ɟ ɪ n a
člověče,t͡ʃ l ɔ v j ɛ t͡ʃ ɛ
člověčenství,ˈ t͡ʃ l ɔ v j ɛ t͡ʃ ɛ n s t v iː
člověčí,t͡ʃ l ɔ v j ɛ t͡ʃ iː
člun,t͡ʃ l ʊ n
člunový,t͡ʃ l ʊ n ɔ v iː
článek,t͡ʃ l aː n ɛ k
čmelák,t͡ʃ m ɛ l aː k
čmeláčí,t͡ʃ m ɛ l aː t͡ʃ iː
čmýra,t͡ʃ m iː r a
čnb,ˈ t͡ʃ ɛː ˈ ɛ n ˈ b ɛː
čnít,t͡ʃ ɲ iː t
čnělka,t͡ʃ ɲ ɛ l k a
čobolák,t͡ʃ ɔ b ɔ l aː k
čochtan,t͡ʃ ɔ x t a n
čokl,t͡ʃ ɔ k l̩
čokolád,t͡ʃ ɔ k ɔ l aː t
čokoláda,t͡ʃ ɔ k ɔ l aː d a
čokoládka,t͡ʃ ɔ k ɔ l aː t k a
čokoládový,t͡ʃ ɔ k ɔ l aː d ɔ v iː
čokoládu,ˈ t͡ʃ ɔ k ɔ l aː d ʊ
čokolády,t͡ʃ ɔ k ɔ l aː d ɪ
čolek,t͡ʃ ɔ l ɛ k
čop,ˈ t͡ʃ ɔ p
čůrat,t͡ʃ uː r a t
čůrek,t͡ʃ uː r ɛ k
čůrák,t͡ʃ uː r aː k
čoček,ˈ t͡ʃ ɔ t͡ʃ ɛ k
čočinka,t͡ʃ ɔ t͡ʃ ɪ ŋ k a
čočka,t͡ʃ ɔ t͡ʃ k a
čočkový,t͡ʃ ɔ t͡ʃ k ɔ v iː
čočku,t͡ʃ ɔ t͡ʃ k ʊ
čočovičku,t͡ʃ ɔ t͡ʃ ɔ v ɪ t͡ʃ k ʊ
čpavek,t͡ʃ p a v ɛ k
čpavkový,t͡ʃ p a f k ɔ v iː
čpí,t͡ʃ p iː
čpět,t͡ʃ p j ɛ t
čr,ˈ t͡ʃ ɛː ˈ ɛ r
črt,t͡ʃ r̩ t
črta,t͡ʃ r̩ t a
črtám,t͡ʃ r̩ t aː m
čsad,t͡ʃ ɛː ɛ s aː d ɛː
čsav,ˈ t͡ʃ ɛː ˈ ɛ s ˈ aː ˈ v ɛː
čst,ˈ t͡ʃ ɛː ˈ ɛ s ˈ t ɛː
čt,ˈ t͡ʃ ɛː ˈ t ɛː
čtenář,t͡ʃ t ɛ n aː r̝̊
čtenářský,ˈ t͡ʃ t ɛ n aː r̝̊ s k iː
čtenářstvo,ˈ t͡ʃ t ɛ n aː r̝̊ s t v ɔ
čtenářův,t ʃ t ɛ n aː r̝ uː f
čtení,t͡ʃ t ɛ ɲ iː
čtečka,t͡ʃ t ɛ t͡ʃ k a
čti,t͡ʃ c ɪ
čtouce,t͡ʃ t ɔ ʊ̯ t͡s ɛ
čtrnáct,t͡ʃ t r̩ n aː t͡s t
čtrnáctidenník,t ʃ t r̩ n aː t s c ɪ d ɛ n ɲ iː k
čtrnáctideník,t͡ʃ t r̩ n aː t͡s c ɪ d ɛ ɲ iː k
čtrnáctileté,t͡ʃ t r̩ n aː t͡s c ɪ l ɛ t ɛː
čtrnáctiletí,t͡ʃ t r̩ n aː t͡s c ɪ l ɛ c iː
čtrnáctiletý,t͡ʃ t r̩ n aː t͡s c ɪ l ɛ t iː
čtrnáctimetrová,t͡ʃ t r̩ n aː t͡s c ɪ m ɛ t r ɔ v aː
čtrnáctimetrový,t͡ʃ t r̩ n aː t͡s c ɪ m ɛ t r ɔ v iː
čtrnáctiměsíční,t͡ʃ t r̩ n aː t͡s c ɪ m ɲ ɛ s iː t͡ʃ ɲ iː
čtrnáctiúhelník,t ʃ t r̩ n aː t s c ɪ uː ɦ ɛ l ɲ iː k
čtrnáctkrát,t͡ʃ t r̩ n aː t͡s t k r aː t
čtu,t͡ʃ t ʊ
čtveračku,t͡ʃ t v ɛ r a t͡ʃ k ʊ
čtverce,t͡ʃ t v ɛ r t͡s ɛ
čtvercový,t͡ʃ t v ɛ r t͡s ɔ v iː
čtverec,t͡ʃ t v ɛ r ɛ t͡s
čtvereček,t͡ʃ t v ɛ r ɛ t͡ʃ ɛ k
čtvereční,t͡ʃ t v ɛ r ɛ t͡ʃ ɲ iː
čtverečný,t͡ʃ t v ɛ r ɛ t͡ʃ n iː
čtverhranka,t͡ʃ t v ɛ r ɦ r a ŋ k a
čtverylka,t͡ʃ t v ɛ r ɪ l k a
čtverák,t͡ʃ t v ɛ r aː k
čtveráček,t͡ʃ t v ɛ r aː t͡ʃ ɛ k
čtveřice,t͡ʃ t v ɛ r̝ ɪ t͡s ɛ
čtvrt,t͡ʃ t v r̩ t
čtvrtek,ˈ t͡ʃ t v r̩ t ɛ k
čtvrteční,t͡ʃ t v r̩ t ɛ t͡ʃ ɲ iː
čtvrtečním,t͡ʃ t v r̩ t ɛ t͡ʃ ɲ iː m
čtvrtfinalista,t͡ʃ t v r̩ t f ɪ n a l ɪ s t a
čtvrtfinalistka,t ʃ t v r̩ t f ɪ n a l ɪ s t k a
čtvrtfinále,t͡ʃ t v r̩ t f ɪ n aː l ɛ
čtvrthodina,t͡ʃ t v r̩ t ɦ ɔ ɟ ɪ n a
čtvrthrst,t͡ʃ t v r̩ t ɦ r̩ s t
čtvrti,t͡ʃ t v r̩ c ɪ
čtvrtina,t͡ʃ t v r̩ c ɪ n a
čtvrtinu,t͡ʃ t v r̩ c ɪ n ʊ
čtvrtiny,t͡ʃ t v r̩ c ɪ n ɪ
čtvrtině,t͡ʃ t v r̩ c ɪ ɲ ɛ
čtvrtka,t͡ʃ t v r̩ t k a
čtvrtkař,t͡ʃ t v r̩ t k a r̝̊
čtvrtkařka,ˈ t͡ʃ t v r̩ t k a r̝̊ k a
čtvrtku,t͡ʃ t v r̩ t k ʊ
čtvrtky,t͡ʃ t v r̩ t k ɪ
čtvrtletník,t͡ʃ t v r̩ t l ɛ t ɲ iː k
čtvrtletí,t͡ʃ t v r̩ t l ɛ c iː
čtvrtnice,t͡ʃ t v r̩ t ɲ ɪ t͡s ɛ
čtvrtorozený,ˈ t͡ʃ t v r̩ t ɔ r ɔ z ɛ n iː
čtvrtou,t͡ʃ t v r̩ t ɔ ʊ̯
čtvrtá,t͡ʃ t v r̩ t aː
čtvrté,t͡ʃ t v r̩ t ɛː
čtvrtí,t͡ʃ t v r̩ c iː
čtvrtím,t͡ʃ t v r̩ c iː m
čtvrtúvazek,t͡ʃ t v r̩ t uː v a z ɛ k
čtvrtúvazky,t͡ʃ t v r̩ t uː v a s k ɪ
čtvrtý,t͡ʃ t v r̩ t iː
čtvrtě,t͡ʃ t v r̩ c ɛ
čtvrť,t͡ʃ t v r̩ c
čtyřče,t͡ʃ t ɪ r̝̊ t͡ʃ ɛ
čtyřčlennou,t͡ʃ t ɪ r̝̊ t͡ʃ l ɛ n ɔ ʊ̯
čtyřčlenné,t͡ʃ t ɪ r̝̊ t͡ʃ l ɛ n ɛː
čtyřčlenný,t͡ʃ t ɪ r̝̊ t͡ʃ l ɛ n iː
čtyř,t͡ʃ t ɪ r̝̊
čtyřbob,t͡ʃ t ɪ r̝ b ɔ p
čtyřciferný,t͡ʃ t ɪ r̝̊ t͡s ɪ f ɛ r n iː
čtyřdenní,t͡ʃ t ɪ r̝ d ɛ ɲ iː
čtyřdenním,t͡ʃ t ɪ r̝ d ɛ ɲ iː m
čtyřdíldného,t͡ʃ t ɪ r̝ ɟ iː l n ɛː ɦ ɔ
čtyřdílný,t͡ʃ t ɪ r̝ ɟ iː l n iː
čtyřech,t͡ʃ t ɪ r̝ ɛ x
čtyřem,t͡ʃ t ɪ r̝ ɛ m
čtyřhodinovém,t͡ʃ t ɪ r̝ ɦ ɔ ɟ ɪ n ɔ v ɛː m
čtyřhodinový,t͡ʃ t ɪ r̝ ɦ ɔ ɟ ɪ n ɔ v iː
čtyři,t͡ʃ t ɪ r̝ ɪ
čtyřiadvacet,t͡ʃ t ɪ r̝ ɪ a d v a t͡s ɛ t
čtyřiadvacetiletého,t͡ʃ t ɪ r̝ ɪ a d v a t͡s ɛ c ɪ l ɛ t ɛː ɦ ɔ
čtyřiadvacetiletý,t͡ʃ t ɪ r̝ ɪ a d v a t͡s ɛ c ɪ l ɛ t iː
čtyřiadvacetitisícového,t͡ʃ t ɪ r̝ ɪ a d v a t͡s ɛ c ɪ c ɪ s iː t͡s ɔ v ɛː ɦ ɔ
čtyřiadvacetitisícový,t͡ʃ t ɪ r̝ ɪ a d v a t͡s ɛ c ɪ c ɪ s iː t͡s ɔ v iː
čtyřiaosmdesátiletého,t͡ʃ t ɪ r̝ ɪ a ɔ s m̩ d ɛ s aː c ɪ l ɛ t ɛː ɦ ɔ
čtyřiaosmdesátiletého,t͡ʃ t ɪ r̝ ɪ a ɔ s ʊ m d ɛ s aː c ɪ l ɛ t ɛː ɦ ɔ
čtyřiaosmdesátiletý,t͡ʃ t ɪ r̝ ɪ a ɔ s m̩ d ɛ s aː c ɪ l ɛ t iː
