ăl,ə l
șarmare,ʃ a r ˈ m a r e
șarnieră,ʃ a r n i ˈ e r ə
șarpantă,ʃ a r ˈ p a n t ə
șarpe,ˈ ʃ a r p e
șarpie,ˈ ʃ a r p i e
șart,ʃ a r t
șase,ˈ ʃ a s e
șaselea,ˈ ʃ a s e l e̯ a
șasesprezece,ˈ ʃ a s e s p r e z e t͡ʃ e
șasiu,ʃ a ˈ s i w
șasla,ʃ a s ˈ l a
șaten,ʃ a ˈ t e n
șatrange,ʃ a ˈ t r a n d ʒ e
șatră,ˈ ʃ a t r ə
șavana,ʃ a v a ˈ n a
șcericăire,ʃ t͡ʃ e r i k ə ˈ i r e
șchiopare,ʃ k j o ˈ p a r e
șchiopăta,ʃ k j o p ə ˈ t a
șchiopătare,ʃ k j o p ə ˈ t a r e
șchiopătură,ʃ k i o p ə ˈ t u r ə
școală,ˈ ʃ k o̯ a l ə
școlar,ʃ k o ˈ l a r
școlaritate,ʃ k o l a r i ˈ t a t e
școlariza,ʃ k o l a r i ˈ z a
școlarizare,ʃ k o l a r i ˈ z a r e
școlarizat,ʃ k o l a r i ˈ z a t
școli,ʃ k o ˈ l i
școlire,ʃ k o ˈ l i r e
școlăresc,ʃ k o l ə ˈ r e s k
școlărește,ʃ k o l ə ˈ r e ʃ t e
școlări,ʃ k o l ə ˈ r i
școlărime,ʃ k o l ə ˈ r i m e
școlărire,ʃ k o l ə ˈ r i r e
școlăriță,ʃ k o l ə ˈ r i t͡s ə
șcordăluire,ʃ k o r d ə l u ˈ i r e
șcrabă,ˈ ʃ k r a b ə
șcârcăire,ʃ k ɨ r k ə ˈ i r e
ședere,ʃ e ˈ d e r e
ședințoman,ʃ e d i n t͡s o ˈ m a n
ședințomană,ʃ e d i n t͡s o ˈ m a n ə
ședință,ʃ e ˈ d i n t͡s ə
ședită,ʃ e ˈ d i t ə
șef,ʃ e f
șefie,ʃ e ˈ f i e
șeftălire,ʃ e f t ə ˈ l i r e
șefă,ˈ ʃ e f ə
șeic,ʃ e j k
șeic,ʃ e ˈ i k
șeituire,ʃ e j t u ˈ i r e
șeitălire,ʃ e j t ə ˈ l i r e
șelac,ʃ e ˈ l a k
șelar,ʃ e ˈ l a r
șelf,ʃ e l f
șeluță,ʃ e ˈ l u t͡s ə
șelărie,ʃ e l ə ˈ r i e
șemiza,ʃ e m i ˈ z a
șemizare,ʃ e m i ˈ z a r e
șemizat,ʃ e m i ˈ z a t
șemizetă,ʃ e m i ˈ z e t ə
șenal,ʃ e ˈ n a l
șenilat,ʃ e n i ˈ l a t
șeniletă,ʃ e n i ˈ l e t ə
șenilă,ʃ e ˈ n i l ə
șepcar,ʃ e p ˈ k a r
șepcuță,ʃ e p ˈ k u t͡s ə
șeping,ˈ ʃ e p i n ɡ
șeptar,ʃ e p ˈ t a r
șepte,ˈ ʃ e p t e
șeptel,ʃ e p ˈ t e l
șeptic,ʃ e p ˈ t i k
șeptime,ʃ e p ˈ t i m e
șerardizare,ʃ e r a r d i ˈ z a r e
șerb,ʃ e r b
șerbet,ʃ e r ˈ b e t
șerbetelniță,ʃ e r b e ˈ t e l n i t͡s ə
șerbetieră,ʃ e r b e t i ˈ e r ə
șerbi,ʃ e r ˈ b i
șerbie,ʃ e r ˈ b i e
șerbire,ʃ e r ˈ b i r e
șerbăluire,ʃ e r b ə l u ˈ i r e
șerfui,ʃ e r f u ˈ i
șerfuire,ʃ e r f u ˈ i r e
șerfuit,ʃ e r f u ˈ i t
șerif,ʃ e ˈ r i f
șerlac,ʃ e r ˈ l a k
șerpar,ʃ e r ˈ p a r
șerpaș,ʃ e r ˈ p a ʃ
șerpe,ˈ ʃ e r p e
șerpesc,ʃ e r ˈ p e s k
șerpește,ʃ e r ˈ p e ʃ t e
șerpișor,ʃ e r p i ˈ ʃ o r
șerpoi,ʃ e r ˈ p o j
șerpui,ʃ e r p u ˈ i
șerpuire,ʃ e r p u ˈ i r e
șerpuit,ʃ e r p u ˈ i t
șerpuitor,ʃ e r p u i ˈ t o r
șerpuitură,ʃ e r p u i ˈ t u r ə
șerpurel,ʃ e r p u ˈ r e l
șerpușor,ʃ e r p u ˈ ʃ o r
șerpăraș,ʃ e r p ə ˈ r a ʃ
șerpărie,ʃ e r p ə ˈ r i e
șerui,ʃ e r u ˈ i
șeruire,ʃ e r u ˈ i r e
șeruitor,ʃ e r u i ˈ t o r
șervet,ʃ e r ˈ v e t
șervețel,ʃ e r v e ˈ t͡s e l
șes,ʃ e s
șese,ˈ ʃ e s e
șesenal,ʃ e s e ˈ n a l
șesime,ʃ e ˈ s i m e
șest,ʃ e s t
șestină,ʃ e s ˈ t i n ə
șetruță,ʃ e ˈ t r u t͡s ə
șevalet,ʃ e v a ˈ l e t
șevalieră,ʃ e v a l i ˈ e r ə
șever,ˈ ʃ e v e r
șeverui,ʃ e v e r u ˈ i
șeveruire,ʃ e v e r u ˈ i r e
șeveruit,ʃ e v e r u ˈ i t
șevretă,ʃ e ˈ v r e t ə
șevro,ʃ e ˈ v r o
șezlong,ʃ e z ˈ l o n ɡ
șezut,ʃ e ˈ z u t
șezătoare,ʃ e z ə ˈ t o̯ a r e
șezător,ʃ e z ə ˈ t o r
șfanț,ʃ f a n t͡s
șfară,ˈ ʃ f a r ə
șfei,ʃ f e j
șfert,ʃ f e r t
șfeșnic,ˈ ʃ f e ʃ n i k
șfichi,ʃ f i k ʲ
șfichiuire,ʃ f i k j u ˈ i r e
șfichiuitor,ʃ f i k j u i ˈ t o r
șfichiuitură,ʃ f i k j u i ˈ t u r ə
șfindlărire,ʃ f i n d l ə ˈ r i r e
șfoară,ˈ ʃ f o̯ a r ə
șfăițuire,ʃ f ə j t͡s u ˈ i r e
șfărui,ʃ f ə r u ˈ i
șfăruire,ʃ f ə r u ˈ i r e
șiș,ʃ i ʃ
șișcorniță,ʃ i ʃ ˈ k o r n i t͡s ə
șișcă,ˈ ʃ i ʃ k ə
șișcănire,ʃ i ʃ k ə ˈ n i r e
șișcăvire,ʃ i ʃ k ə ˈ v i r e
șiștar,ʃ i ʃ ˈ t a r
șiștav,ʃ i ʃ ˈ t a v
șiștor,ʃ i ʃ ˈ t o r
șiștărel,ʃ i ʃ t ə ˈ r e l
șiștăvi,ʃ i ʃ t ə ˈ v i
șiștăvire,ʃ i ʃ t ə ˈ v i r e
șiștăvit,ʃ i ʃ t ə ˈ v i t
șișăi,ʃ i ʃ ə ˈ i
șișăire,ʃ i ʃ ə ˈ i r e
șițar,ʃ i ˈ t͡s a r
șițui,ʃ i t͡s u ˈ i
șițuire,ʃ i t͡s u ˈ i r e
șițuit,ʃ i t͡s u ˈ i t
șiță,ˈ ʃ i t͡s ə
și,ʃ i
șiac,ʃ i ˈ a k
șiboi,ʃ i ˈ b o j
șic,ʃ i k
șicana,ʃ i k a ˈ n a
șicanare,ʃ i k a ˈ n a r e
șicanarisire,ʃ i k a n a r i ˈ s i r e
șicanat,ʃ i k a ˈ n a t
șicanator,ʃ i k a n a ˈ t o r
șicană,ʃ i ˈ k a n ə
șiclire,ʃ i ˈ k l i r e
șicui,ʃ i k u ˈ i
șicuire,ʃ i k u ˈ i r e
șicuit,ʃ i k u ˈ i t
șif,ʃ i f
șifon,ʃ i ˈ f o n
șifona,ʃ i f o ˈ n a
șifonabil,ʃ i f o ˈ n a b i l
șifonabilitate,ʃ i f o n a b i l i ˈ t a t e
șifonare,ʃ i f o ˈ n a r e
șifonat,ʃ i f o ˈ n a t
șifonier,ʃ i f o n i ˈ e r
șifonieră,ʃ i f o n i ˈ e r ə
șiism,ʃ i ˈ i s m
șiit,ʃ i ˈ i t
șild,ʃ i l d
șiling,ˈ ʃ i l i n ɡ
șimi,ˈ ʃ i m i
șimituire,ʃ i m i t u ˈ i r e
șinar,ʃ i ˈ n a r
șindilar,ʃ i n d i ˈ l a r
șindili,ʃ i n d i ˈ l i
șindilire,ʃ i n d i ˈ l i r e
șindilit,ʃ i n d i ˈ l i t
șindilă,ʃ i n ˈ d i l ə
șindrilar,ʃ i n d r i ˈ l a r
șindrili,ʃ i n d r i ˈ l i
șindrilire,ʃ i n d r i ˈ l i r e
șindrilit,ʃ i n d r i ˈ l i t
șindrilă,ʃ i n ˈ d r i l ə
șindrui,ʃ i n d r u ˈ i
șindruire,ʃ i n d r u ˈ i r e
șindruit,ʃ i n d r u ˈ i t
șindră,ˈ ʃ i n d r ə
șinor,ʃ i ˈ n o r
șintoism,ʃ i n t o ˈ i s m
șintoist,ʃ i n t o ˈ i s t
șintărire,ʃ i n t ə ˈ r i r e
șinui,ʃ i n u ˈ i
șinuire,ʃ i n u ˈ i r e
șinuit,ʃ i n u ˈ i t
șină,ˈ ʃ i n ə
șinșilă,ʃ i n ˈ ʃ i l ə
șip,ʃ i p
șipcuire,ʃ i p k u ˈ i r e
șipculiță,ʃ i p k u ˈ l i t͡s ə
șipcă,ˈ ʃ i p k ə
șipot,ˈ ʃ i p o t
șipoțel,ʃ i p o ˈ t͡s e l
șipurel,ʃ i p u ˈ r e l
șipușor,ʃ i p u ˈ ʃ o r
șir,ʃ i r
șirag,ʃ i ˈ r a ɡ
șireglă,ʃ i ˈ r e ɡ l ə
șiret,ʃ i ˈ r e t
șiretenie,ʃ i r e ˈ t e n i e
șiretlic,ʃ i r e ˈ t l i k
șirețel,ʃ i r e ˈ t͡s e l
șireție,ʃ i r e ˈ t͡s i e
șirincă,ʃ i ˈ r i n k ə
șiroi,ʃ i r o ˈ i
șiroi,ʃ i ˈ r o j
șiroire,ʃ i r o ˈ i r e
șiruire,ʃ i r u ˈ i r e
șiruleț,ʃ i r u ˈ l e t͡s
șiră,ˈ ʃ i r ə
șist,ʃ i s t
șistar,ʃ i s ˈ t a r
șistificare,ʃ i s t i f i ˈ k a r e
șistos,ʃ i s ˈ t o s
șistozitate,ʃ i s t o z i ˈ t a t e
șivoi,ʃ i ˈ v o j
șlagăr,ˈ ʃ l a ɡ ə r
șlam,ʃ l a m
șlampăt,ʃ l a m ˈ p ə t
șlap,ʃ l a p
șleahtic,ˈ ʃ l e̯ a h t i k
șleahtă,ˈ ʃ l e̯ a h t ə
șleapcă,ˈ ʃ l e̯ a p k ə
șlefui,ʃ l e f u ˈ i
șlefuire,ʃ l e f u ˈ i r e
șlefuit,ʃ l e f u ˈ i t
șlefuitoare,ʃ l e f u i ˈ t o̯ a r e
șlefuitor,ʃ l e f u i ˈ t o r
șlem,ʃ l e m
șlep,ʃ l e p
șlepar,ʃ l e ˈ p a r
șliboviță,ˈ ʃ l i b o v i t͡s ə
șlic,ʃ l i k
șlif,ʃ l i f
șlinguire,ʃ l i n ɡ u ˈ i r e
șlire,ˈ ʃ l i r e
șlituire,ʃ l i t u ˈ i r e
șliț,ʃ l i t͡s
șluc,ʃ l u k
șlus,ʃ l u s
șmag,ʃ m a ɡ
șmal,ʃ m a l
șmecher,ˈ ʃ m e k e r
șmecheresc,ʃ m e k e ˈ r e s k
șmecherește,ʃ m e k e ˈ r e ʃ t e
șmecheri,ʃ m e k e ˈ r i
șmecherie,ʃ m e k e ˈ r i e
șmecherire,ʃ m e k e ˈ r i r e
șmecherlâc,ʃ m e k e r ˈ l ɨ k
șmecheros,ʃ m e k e ˈ r o s
șmirghel,ˈ ʃ m i r ɡ e l
șmiruire,ʃ m i r u ˈ i r e
șmotri,ʃ m o ˈ t r i
șmotrire,ʃ m o ˈ t r i r e
șmotru,ˈ ʃ m o t r u
șmuțigărire,ʃ m u t͡s i ɡ ə ˈ r i r e
șnapan,ʃ n a ˈ p a n
șnaps,ʃ n a p s
șnec,ʃ n e k
șnit,ʃ n i t
șnituire,ʃ n i t u ˈ i r e
șnițel,ˈ ʃ n i t͡s e l
șnur,ʃ n u r
șnurceramică,ʃ n u r t͡ʃ e ˈ r a m i k ə
șnurui,ʃ n u r u ˈ i
șnuruire,ʃ n u r u ˈ i r e
șnuruit,ʃ n u r u ˈ i t
șnuruleț,ʃ n u r u ˈ l e t͡s
șoș,ʃ o ʃ
șoșele,ʃ o ˈ ʃ e l e
șoșoi,ʃ o ʃ o ˈ i
șoșoire,ʃ o ʃ o ˈ i r e
șoșoit,ʃ o ʃ o ˈ i t
șoșon,ʃ o ˈ ʃ o n
șoșoni,ʃ o ʃ o ˈ n i
șoșoteală,ʃ o ʃ o ˈ t e̯ a l ə
șoșoti,ʃ o ʃ o ˈ t i
șoșotire,ʃ o ʃ o ˈ t i r e
șoșotit,ʃ o ʃ o ˈ t i t
șoșoșo,ʃ o ʃ o ˈ ʃ o
șo,ʃ o
șoadă,ˈ ʃ o̯ a d ə
șoaldă,ˈ ʃ o̯ a l d ə
șoaptă,ˈ ʃ o̯ a p t ə
șoarec,ˈ ʃ o̯ a r e k
șoarece,ˈ ʃ o̯ a r e t͡ʃ e
șobolan,ʃ o b o ˈ l a n
șoc,ʃ o k
șoca,ʃ o ˈ k a
șocant,ʃ o ˈ k a n t
șocare,ʃ o ˈ k a r e
șocat,ʃ o ˈ k a t
șocată,ʃ o ˈ k a t ə
șocolată,ʃ o k o ˈ l a t ə
șod,ʃ o d
șodo,ʃ o ˈ d o
șodou,ʃ o ˈ d o w
șodron,ʃ o ˈ d r o n
șofa,ʃ o ˈ f a
șofaj,ʃ o ˈ f a ʒ
șofare,ʃ o ˈ f a r e
șofat,ʃ o ˈ f a t
șofer,ʃ o ˈ f e r
șoferiță,ʃ o f e ˈ r i t͡s ə
șofran,ʃ o ˈ f r a n
șofrănaș,ʃ o f r ə ˈ n a ʃ
șofrănel,ʃ o f r ə ˈ n e l
șogor,ʃ o ˈ ɡ o r
șoim,ʃ o j m
șoimește,ʃ o j ˈ m e ʃ t e
șoimi,ˈ ʃ o j m ʲ
șoimănesc,ʃ o j m ə ˈ n e s k
șoimănire,ʃ o j m ə ˈ n i r e
șoimărire,ʃ o j m ə ˈ r i r e
șold,ʃ o l d
șoldan,ʃ o l ˈ d a n
șoldar,ʃ o l ˈ d a r
șoldeală,ʃ o l ˈ d e̯ a l ə
șoldi,ʃ o l ˈ d i
șoldire,ʃ o l ˈ d i r e
șoldit,ʃ o l ˈ d i t
șoldiș,ʃ o l ˈ d i ʃ
șolduros,ʃ o l d u ˈ r o s
șoldănire,ʃ o l d ə ˈ n i r e
șolomonar,ʃ o l o m o ˈ n a r
șolomănar,ʃ o l o m ə ˈ n a r
șoltic,ʃ o l ˈ t i k
șolticărie,ʃ o l t i k ə ˈ r i e
șoltuz,ʃ o l ˈ t u z
șoma,ʃ o ˈ m a
șomaj,ʃ o ˈ m a ʒ
șomare,ʃ o ˈ m a r e
șomer,ʃ o ˈ m e r
șomeră,ʃ o ˈ m e r ə
șomoltoc,ʃ o m o l ˈ t o k
șondoroire,ʃ o n d o r o ˈ i r e
șondromănire,ʃ o n d r o m ə ˈ n i r e
șont,ʃ o n t
șontorog,ʃ o n t o ˈ r o ɡ
șontorogeală,ʃ o n t o r o ˈ d ʒ e̯ a l ə
șontorogi,ʃ o n t o r o ˈ d ʒ i
șontorogire,ʃ o n t o r o ˈ d ʒ i r e
șontorogit,ʃ o n t o r o ˈ d ʒ i t
șontâc,ʃ o n ˈ t ɨ k
șontâcăi,ʃ o n t ɨ k ə ˈ i
șontâcăire,ʃ o n t ɨ k ə ˈ i r e
șontâcăluire,ʃ o n t ɨ k ə l u ˈ i r e
șonțire,ʃ o n ˈ t͡s i r e
șopa,ʃ o ˈ p a
șoporoire,ʃ o p o r o ˈ i r e
șopot,ˈ ʃ o p o t
șopoti,ʃ o p o ˈ t i
șopotire,ʃ o p o ˈ t i r e
șopotitor,ʃ o p o t i ˈ t o r
șopron,ʃ o ˈ p r o n
șoproneață,ʃ o p r o ˈ n e̯ a t͡s ə
șopru,ˈ ʃ o p r u
șopruț,ʃ o ˈ p r u t͡s
șopteală,ʃ o p ˈ t e̯ a l ə
șopti,ʃ o p ˈ t i
șoptire,ʃ o p ˈ t i r e
șoptit,ʃ o p ˈ t i t
șoptitor,ʃ o p t i ˈ t o r
șopârcăire,ʃ o p ɨ r k ə ˈ i r e
șopârliță,ʃ o p ɨ r ˈ l i t͡s ə
șopârlă,ʃ o ˈ p ɨ r l ə
șopăcăire,ʃ o p ə k ə ˈ i r e
șopăi,ʃ o p ə ˈ i
șopăire,ʃ o p ə ˈ i r e
șopărcăire,ʃ o p ə r k ə ˈ i r e
șorecar,ʃ o r e ˈ k a r
șorecie,ʃ o r e ˈ t͡ʃ i e
șorecuț,ʃ o r e ˈ k u t͡s
șoric,ʃ o ˈ r i k
șoricar,ʃ o r i ˈ k a r
șoriceasă,ʃ o r i ˈ t͡ʃ e̯ a s ə
șoricel,ʃ o r i ˈ t͡ʃ e l
șoricesc,ʃ o r i ˈ t͡ʃ e s k
șoricește,ʃ o r i ˈ t͡ʃ e ʃ t e
șorici,ʃ o r i ˈ t͡ʃ i
șoricime,ʃ o r i ˈ t͡ʃ i m e
șoricuț,ʃ o r i ˈ k u t͡s
șoricări,ʃ o r i k ə ˈ r i
șoricărie,ʃ o r i k ə ˈ r i e
șoricărime,ʃ o r i k ə ˈ r i m e
șoricărire,ʃ o r i k ə ˈ r i r e
șorobotire,ʃ o r o b o ˈ t i r e
șort,ʃ o r t
șorț,ʃ o r t͡s
șorțuleț,ʃ o r t͡s u ˈ l e t͡s
șosea,ʃ o ˈ s e̯ a
șosela,ʃ o s e ˈ l a
șoselare,ʃ o s e ˈ l a r e
șoselat,ʃ o s e ˈ l a t
șoselui,ʃ o s e l u ˈ i
șoseluire,ʃ o s e l u ˈ i r e
șoseluit,ʃ o s e l u ˈ i t
șoseluță,ʃ o s e ˈ l u t͡s ə
șosetă,ʃ o ˈ s e t ə
șot,ʃ o t
șotie,ˈ ʃ o t i e
șotron,ʃ o ˈ t r o n
șovar,ʃ o ˈ v a r
șovin,ʃ o ˈ v i n
șovinism,ʃ o v i ˈ n i s m
șovinist,ʃ o v i ˈ n i s t
șovină,ʃ o ˈ v i n ə
șovâlc,ʃ o ˈ v ɨ l k
șovâlcăi,ʃ o v ɨ l k ə ˈ i
șovâlcăire,ʃ o v ɨ l k ə ˈ i r e
șovârcăire,ʃ o v ɨ r k ə ˈ i r e
șovârf,ʃ o ˈ v ɨ r f
șovârnire,ʃ o v ɨ r ˈ n i r e
șovăi,ʃ o v ə ˈ i
șovăială,ʃ o v ə ˈ j a l ə
șovăire,ʃ o v ə ˈ i r e
șovăitor,ʃ o v ə i ˈ t o r
șpaclu,ˈ ʃ p a k l u
șpagat,ʃ p a ˈ ɡ a t
șpagă,ˈ ʃ p a ɡ ə
șpalt,ʃ p a l t
șpan,ʃ p a n
șpangă,ˈ ʃ p a n ɡ ə
șparli,ʃ p a r ˈ l i
șparlire,ʃ p a r ˈ l i r e
șparlit,ʃ p a r ˈ l i t
șperaclu,ʃ p e ˈ r a k l u
șperluire,ʃ p e r l u ˈ i r e
șperlă,ˈ ʃ p e r l ə
șperț,ʃ p e r t͡s
șperțar,ʃ p e r ˈ t͡s a r
șperțară,ʃ p e r ˈ t͡s a r ə
șperțui,ʃ p e r t͡s u ˈ i
șperțuire,ʃ p e r t͡s u ˈ i r e
șpicher,ʃ p i ˈ k e r
șpicheriță,ˈ ʃ p i k e r i t͡s ə
șpiculuire,ʃ p i k u l u ˈ i r e
șpicăluire,ʃ p i k ə l u ˈ i r e
șpighel,ˈ ʃ p i ɡ e l
șpil,ʃ p i l
șpilhozen,ˈ ʃ p i l h o z e n
șpionare,ʃ p i o ˈ n a r e
șpis,ʃ p i s
șpiț,ʃ p i t͡s
șplint,ʃ p l i n t
șplit,ʃ p l i t
șpor,ʃ p o r
șpraiț,ʃ p r a j t͡s
șpraițui,ʃ p r a j t͡s u ˈ i
șpraițuire,ʃ p r a j t͡s u ˈ i r e
șpring,ʃ p r i n ɡ
șpringuire,ʃ p r i n ɡ u ˈ i r e
șpriț,ʃ p r i t͡s
șprițui,ʃ p r i t͡s u ˈ i
șprițuire,ʃ p r i t͡s u ˈ i r e
șprițuitor,ʃ p r i t͡s u i ˈ t o r
șpul,ʃ p u l
șpăclui,ʃ p ə k l u ˈ i
șpăcluire,ʃ p ə k l u ˈ i r e
șpăcluit,ʃ p ə k l u ˈ i t
șpăltui,ʃ p ə l t u ˈ i
șpăltuire,ʃ p ə l t u ˈ i r e
șpăltuit,ʃ p ə l t u ˈ i t
șpăruire,ʃ p ə r u ˈ i r e
șrapnel,ʃ r a p ˈ n e l
șrot,ʃ r o t
șrotuire,ʃ r o t u ˈ i r e
ștănțar,ʃ t ə n ˈ t͡s a r
ștănțui,ʃ t ə n t͡s u ˈ i
ștănțuire,ʃ t ə n t͡s u ˈ i r e
șt,ʃ t
ștab,ʃ t a b
ștachete,ʃ t a ˈ k e t e
